Unnamed: 0,전기,가스,수도,지역난방,YEAR,MON
105,255560826.0,11273798.0,14918622.9,3049594.261,2023,10
106,255362764.0,23749738.0,14439208.8,13225464.736,2023,11
107,271015225.0,47560201.0,14519931.6,24169250.596,2023,12
108,290223476.0,65608930.0,14119336.8,26759601.094,2024,1
109,280810330.0,65184440.0,14247296.7,18696968.203,2024,2
110,259332255.0,58563376.0,13792441.8,13455710.256,2024,3
111,256332884.0,35786315.0,14330249.1,3099650.225,2024,4
112,244740675.0,18077028.0,14158142.9,28333197.76,2024,5
113,270158916.0,11903071.0,14966075.6,20226852.923,2024,6
114,340000663.0,8319412.0,14992942.2,2173041.617,2024,7
115,463971328.0,7072251.0,15873544.6,130082.263,2024,8
116,409872908.0,5729131.0,15143321.6,3420507.136,2024,9
117,282268119.0,8233421.0,15297669.9,2695491.396,2024,10
118,257927956.0,17418221.0,14678672.5,8836296.454,2024,11
119,134828126.0,42103424.0,7326853.6,1513199.277,2024,12
